subset_id,model,model_type,n_cases,rmse_m,mae_m,rmse_ratio_pct,mae_ratio_pct,bias_m,pearson_r,spearman_rho,hit_rate_30pct,tail_coverage_low,tail_coverage_high,tail_coverage_overall,dynamic_range_p90_p10,range_coverage_fraction,dynamic_range_pass,attractor_pass,attractor_max_fraction,attractor_message
BM-A_full,baseline_constant,baseline,67,91.43101028488547,61.89813346896859,94.65214541190906,74.76275458378954,1.6331877807023198e-14,-1.693459201867127e-16,,0.2537313432835821,0.0,0.3888888888888889,0.16279069767441862,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_depth_scaled,baseline,67,83.81169296888305,52.82472680986586,84.27366124080267,59.76954418399909,7.253898974028486e-14,0.39965429414197684,0.5231671792488942,0.4626865671641791,0.32,0.5,0.3953488372093023,2.784978962251787,0.33352187808026257,False,False,0.8208955223880597,"FAIL: 82.09% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_linear_wind,baseline,67,84.24667338463037,54.9528672830576,87.43232889759611,63.592804770345765,3.181534637731792e-15,0.38856003052735066,0.4650596643365142,0.3283582089552239,0.16,0.4444444444444444,0.27906976744186046,2.548847084782826,0.3277145524431722,False,False,0.8507462686567164,"FAIL: 85.07% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,cl,candidate,67,159.87785624814757,130.75465149146373,282.07911168627066,194.29029629411824,49.748719134043725,-0.31679351614813533,-0.46410184815663974,0.11940298507462686,0.04,0.1111111111111111,0.06976744186046512,5.040509618938906,0.9734891975417614,True,True,0.47761194029850745,OK: max fraction in any 20% band = 47.76%
BM-A_full,scaling,candidate,67,126.02382044543845,86.92885447994898,79.74469666523072,74.30986489423913,-68.27541422318693,-0.296652485775721,-0.49207806241047103,0.11940298507462686,0.08,0.0,0.046511627906976744,22.16649854919799,0.18010684948202443,False,True,0.373134328358209,OK: max fraction in any 20% band = 37.31%
BM-B_cross_method,baseline_constant,baseline,6,71.17307475166263,68.47087856121892,139.01148045703744,127.43948985937905,33.893409172661705,,,0.0,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_depth_scaled,baseline,6,73.20181765582541,72.47140843839902,157.60079620690007,143.55601367439678,47.49037960085574,0.7488929192544145,0.6957252427829382,0.0,0.0,0.0,0.0,1.1978158782333324,0.160330544943947,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_linear_wind,baseline,6,71.84536601887827,70.5753735965735,151.51081268502745,137.79672281792153,43.258845103659375,0.6100121681352677,0.753702346348183,0.0,0.0,0.0,0.0,1.168774804701807,0.17550023755265334,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,cl,candidate,6,122.88286545370018,100.90694892012374,254.34844634046,188.78550196892175,48.21451618169343,-0.4718995803472358,-0.23190841426097938,0.0,0.0,0.0,0.0,2.4456365555890227,1.253598409908418,True,False,0.6666666666666666,"FAIL: 66.67% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,scaling,candidate,6,85.46289742424523,57.67003539254429,71.12147751325536,67.42806596889321,-44.87564095777978,-0.293050077968448,-0.17393131069573456,0.16666666666666666,0.25,0.0,0.2,3.3071844832137827,0.3622705762150038,False,True,0.16666666666666666,OK: max fraction in any 20% band = 16.67%
