observation_id,site_id,site_label,image_date,observed_spacing_m,measurement_method,manual_spacing_m,wiggle_spacing_m,has_manual,has_wiggle,latitude,longitude,observation_time_utc,representative_u10_mps,depth_m,fetch_m,pattern_lifetime_s,pattern_reset_time,pattern_reset_event_count,pattern_reset_causes,wind_direction_deg,forcing_mode,matched_cache_file,lookback_hours,onset_only,visible_spacing_multiplier,max_visible_mergers,max_visible_aspect_ratio,max_cell_aspect_ratio,drag_method,drift_method,proxy_notes
obs_001,taihu,Taihu Lake,2017-08-17,369.5447048,wiggle,,369.5447048,False,True,31.29812,120.01688,2017-08-17 02:30:00+00:00,1.4249999999999998,2.0,30000.0,0.0,2017-08-17 02:30:00+00:00,7,low_wind_shutdown,198.43855751721043,era5_cache_matched,data/raw/era5_cache/31p298_120p017_20170807_20170817.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_002,prairie,Prairie Lakes,2017-09-11,54.51738712,wiggle,,54.51738712,False,True,48.01353,-98.95995,2017-09-11 16:30:00+00:00,1.455,3.5,12000.0,0.0,2017-09-11 16:30:00+00:00,5,low_wind_shutdown,313.608470418489,era5_cache_matched,data/raw/era5_cache/48p014_98p960_20170901_20170911.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_003,prairie,Prairie Lakes,2017-10-13,76.20806952,manual,76.20806952,,True,False,48.01062,-98.98725,2017-10-13 16:30:00+00:00,1.9449999999999998,3.5,12000.0,0.0,2017-10-13 16:30:00+00:00,1,low_wind_shutdown,282.16196974269656,era5_cache_matched,data/raw/era5_cache/48p011_98p987_20171003_20171013.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_004,taihu,Taihu Lake,2018-04-19,71.61642828,manual,71.61642828,97.85781439,True,True,31.33429,120.02349,2018-04-19 02:30:00+00:00,3.2199999999999998,2.0,30000.0,19800.0,,0,,136.50621133777418,era5_cache_matched,data/raw/era5_cache/31p334_120p023_20180409_20180419.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_005,taihu,Taihu Lake,2018-04-19,40.44183062,manual,40.44183062,188.5792208,True,True,31.36481,119.99809,2018-04-19 02:30:00+00:00,3.2199999999999998,2.0,30000.0,19800.0,,0,,136.50621133777418,era5_cache_matched,data/raw/era5_cache/31p365_119p998_20180409_20180419.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_006,taihu,Taihu Lake,2018-04-19,125.3438923,wiggle,,125.3438923,False,True,31.18315,120.29864,2018-04-19 02:30:00+00:00,2.5250000000000004,2.0,30000.0,19800.0,,0,,146.4732666500488,era5_cache_matched,data/raw/era5_cache/31p183_120p299_20180409_20180419.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_007,taihu,Taihu Lake,2018-04-29,126.24514,wiggle,,126.24514,False,True,31.36351,120.12623,2018-04-29 02:30:00+00:00,2.665,2.0,30000.0,5400.0,2018-04-29 01:00:00+00:00,1,direction_change,185.0732376324679,era5_cache_matched,data/raw/era5_cache/31p364_120p126_20180419_20180429.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_008,taihu,Taihu Lake,2018-05-09,110.7985895,wiggle,,110.7985895,False,True,31.36066,120.13631,2018-05-09 02:30:00+00:00,1.625,2.0,30000.0,0.0,2018-05-09 02:30:00+00:00,2,low_wind_shutdown,55.88302957334861,era5_cache_matched,data/raw/era5_cache/31p361_120p136_20180429_20180509.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_009,taihu,Taihu Lake,2018-06-13,157.9727524,wiggle,,157.9727524,False,True,31.36396,120.02993,2018-06-13 02:30:00+00:00,2.5149999999999997,2.0,30000.0,5400.0,2018-06-13 01:00:00+00:00,4,low_wind_shutdown,162.81304599683074,era5_cache_matched,data/raw/era5_cache/31p364_120p030_20180603_20180613.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_010,taihu,Taihu Lake,2018-06-13,108.120343,wiggle,,108.120343,False,True,31.3619,120.09194,2018-06-13 02:30:00+00:00,2.5149999999999997,2.0,30000.0,5400.0,2018-06-13 01:00:00+00:00,4,low_wind_shutdown,162.81304599683074,era5_cache_matched,data/raw/era5_cache/31p362_120p092_20180603_20180613.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
