subset_id,model,model_type,n_cases,rmse_m,mae_m,rmse_ratio_pct,mae_ratio_pct,bias_m,pearson_r,spearman_rho,hit_rate_30pct,tail_coverage_low,tail_coverage_high,tail_coverage_overall,dynamic_range_p90_p10,range_coverage_fraction,dynamic_range_pass,attractor_pass,attractor_max_fraction,attractor_message
BM-A_full,baseline_constant,baseline,67,91.43101028488547,61.89813346896859,94.65214541190906,74.76275458378954,1.6331877807023198e-14,-1.693459201867127e-16,,0.2537313432835821,0.0,0.3888888888888889,0.16279069767441862,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_depth_scaled,baseline,67,83.81169296888305,52.82472680986586,84.27366124080267,59.76954418399909,7.253898974028486e-14,0.39965429414197684,0.5231671792488942,0.4626865671641791,0.32,0.5,0.3953488372093023,2.784978962251787,0.33352187808026257,False,False,0.8208955223880597,"FAIL: 82.09% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_linear_wind,baseline,67,84.24667338463037,54.9528672830576,87.43232889759611,63.592804770345765,3.181534637731792e-15,0.38856003052735066,0.4650596643365142,0.3283582089552239,0.16,0.4444444444444444,0.27906976744186046,2.548847084782826,0.3277145524431722,False,False,0.8507462686567164,"FAIL: 85.07% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,cl,candidate,67,116.59990423276,89.41072317975986,113.82117007388098,95.62714967628825,-31.216470284052754,-0.23055258318206998,-0.3490840885567227,0.1044776119402985,0.12,0.05555555555555555,0.09302325581395349,5.191040676093147,0.24590513625370536,False,False,0.6417910447761194,"FAIL: 64.18% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,scaling,candidate,67,129.2727458617919,90.86988430447242,81.21755633786839,76.66792003229791,-77.00658060940057,-0.2751773040380295,-0.4923973344704292,0.11940298507462686,0.2,0.0,0.11627906976744186,39.64292115247748,0.1801912684523032,False,True,0.31343283582089554,OK: max fraction in any 20% band = 31.34%
BM-B_cross_method,baseline_constant,baseline,6,71.17307475166263,68.47087856121892,139.01148045703744,127.43948985937905,33.893409172661705,,,0.0,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_depth_scaled,baseline,6,73.20181765582541,72.47140843839902,157.60079620690007,143.55601367439678,47.49037960085574,0.7488929192544145,0.6957252427829382,0.0,0.0,0.0,0.0,1.1978158782333324,0.160330544943947,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_linear_wind,baseline,6,71.84536601887827,70.5753735965735,151.51081268502745,137.79672281792153,43.258845103659375,0.6100121681352677,0.753702346348183,0.0,0.0,0.0,0.0,1.168774804701807,0.17550023755265334,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,cl,candidate,6,87.33867906113062,60.2582382084845,105.62852744713925,78.29798109100507,-25.940382531345733,-0.28214666039341446,0.40583972495671394,0.16666666666666666,0.25,0.0,0.2,3.6889661001702194,0.6389909116088188,True,True,0.16666666666666666,OK: max fraction in any 20% band = 16.67%
BM-B_cross_method,scaling,candidate,6,90.62897366813095,58.94931371656386,69.30505327252456,65.76304198526887,-58.94931371656386,-0.6845756106069973,-0.46381682852195877,0.16666666666666666,0.25,0.0,0.2,3.959894015050267,0.1661054861008082,False,True,0.0,OK: max fraction in any 20% band = 0.00%
