case_id,image_date,site_id,observed_spacing,manual_spacing,wiggle_spacing,measurement_method,point_group_id,annotation_category,point_match_distance_m,point_length_m,point_bearing_deg,point_mean_spacing_m,point_group_index_mean,point_n_annotations,bathymetry_raw_m,depth,U10,wind_direction_deg,fetch_bin_deg,fetch_at_observation_m,fetch_min_window_m,fetch_max_window_m,Ra,L_inst,coarsened_width,comparison_spacing,pattern_lifetime_s,u_star_water,nu_T_vertical,A_H,n_events,regime,cache_file
obs_024,2020-04-20,neagh,74.96224053,74.96224053,,manual,e4b83d80-94a0-465d-a452-72846860a6ce,manual,2610.6652066267593,,,41.22745526315789,19.0,39.0,-15.557125,15.557125,5.24,103.0,100,8697.018108653065,8697.018108653065,8697.018108653065,15712.94310085388,219.30340821198743,438.60681642397486,438.60681642397486,19800.0,0.007114306029751258,0.007562815812997461,0.11067814819309403,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p696_6p471_20200410_20200420.json
obs_029,2020-11-13,neagh,99.70918716,99.70918716,,manual,8f9b00c1-7390-42db-9dc5-f29fd519f71f,stream,1614.164843404941,,,41.38408648648649,18.5,38.0,-14.655547,14.655547,5.52,213.26097376597463,220,11354.693097914143,11354.693097914143,11354.693097914143,15417.26921834154,207.99147536377066,415.9829507275413,415.9829507275413,19800.0,0.007638189330755775,0.007649166092579057,0.11194184273178981,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p628_6p473_20201103_20201113.json
obs_030,2021-01-22,neagh,76.38345592,76.38345592,,manual,8a978be2-161a-422f-acfe-0ec430ff43ef,stream,1025.151683194084,,,44.69072413793104,14.5,30.0,-13.9549,13.9549,3.4699999999999998,254.9798250415814,260,14995.835151055524,14995.835151055524,14995.835151055524,17841.513892450195,208.26284865813707,416.52569731627415,416.52569731627415,19800.0,0.00414912545884488,0.003956443198969893,0.05790063086563441,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p625_6p327_20210112_20210122.json
obs_031,2021-02-09,neagh,52.64559171,52.64559171,,manual,27c82753-bb1a-40c3-b4c8-11ec016d6ff4,manual,1392.5853496728012,,,87.91182500000001,8.0,17.0,-12.718764,12.718764,6.135,77.07101077809625,80,15806.182238369453,15806.182238369453,21173.026635015547,14807.443726137033,181.23468842415232,362.46937684830465,362.46937684830465,19800.0,0.008838866672845506,0.007681802396449123,0.1124194592393872,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p550_6p444_20210130_20210209.json
obs_032,2021-02-21,neagh,47.17957738,47.17957738,,manual,689b3034-30eb-42ca-bff8-79caf7918f5f,stream,1615.3619125984933,,,43.66888461538461,19.5,40.0,-13.0786,13.0786,5.705,189.78634754000888,180,9289.26165988046,9289.26165988046,14887.754078412196,15228.262795083645,183.56012479374422,367.12024958748844,367.12024958748844,19800.0,0.007992158416974317,0.007142446245132249,0.1045262430722403,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p585_6p362_20210211_20210221.json
obs_033,2021-03-26,neagh,43.47822366,43.47822366,,manual,d34d678c-51fc-4bd8-993b-3be4dcb2b81b,manual,384.55488290055024,,,41.93975106382979,23.5,48.0,-14.070537,14.070537,6.1,232.4606467527175,240,18236.857052586067,18169.21367776573,18236.857052586067,14840.773088428743,201.80271917861134,403.6054383572227,403.6054383572227,19800.0,0.008768696659511337,0.00843077227232139,0.12338027078943067,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p660_6p325_20210316_20210326.json
obs_041,2022-09-24,neagh,53.37615632,53.37615632,,manual,aca30c86-591e-4860-836f-85dc75dd5455,manual,2125.0206655410857,,,51.52653409090909,22.0,45.0,-14.219376,14.219376,5.085,5.627493712825753,0,4546.472761708777,3297.298775118382,4546.472761708777,15881.76803341016,195.59000621595249,195.59000621595249,195.59000621595249,0.0,0.006830474943677309,0.006636713657540411,0.09712509148272648,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p581_6p352_20220914_20220924.json
obs_042,2022-10-07,neagh,43.35428673,43.35428673,,manual,6a071d52-c1fc-4799-bd5a-12e9a1a44e99,manual,1819.3855515855635,,,49.44464651162791,21.5,44.0,-10.773585,10.773585,5.645,247.04872061299878,240,6753.5230486498585,6753.5230486498585,7189.722028861793,15289.022489324514,149.34629370910807,298.69258741821614,298.69258741821614,19800.0,0.007876676752154565,0.0057986234147513,0.08486004650686114,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p555_6p508_20220927_20221007.json
obs_043,2022-11-03,neagh,53.46002757,53.46002757,,manual,1214dea6-6cf1-44c7-8b6e-454f4aee918f,manual,415.9607149906041,,,47.990567796610165,29.5,60.0,-14.114888,14.114888,2.865,189.34946671911024,180,8311.861414553947,8311.861414553947,9513.045786135155,18575.547837611328,208.84547591768145,208.84547591768145,208.84547591768145,19800.0,0.0032903476668128054,0.003173517261880349,0.04644288879812407,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p629_6p386_20221024_20221103.json
obs_044,2022-11-08,neagh,49.45643707,49.45643707,,manual,a2c30aab-e595-4427-9775-f0c5216ae9f1,stream,2845.9768196929676,,,87.3306125,8.0,17.0,-7.476474,7.476474,4.96,183.56352255171547,180,4521.740903264552,4521.740903264552,4779.416972534869,16020.651435302934,103.02725733034912,206.05451466069823,206.05451466069823,19800.0,0.006604809589758611,0.0033742617481766915,0.04938068717278092,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p518_6p538_20221029_20221108.json
