annotation_category,layer,n,spearman_rho,spearman_p_value,median_observed_m,median_layer_m,median_bias_m,mae_m,median_ratio
all,L_inst,54,0.17636744806556126,0.20205004588961992,45.142134203062966,195.9879221830812,133.86675981384,121.79041955741397,3.58722503901306
all,coarsened_width,54,-0.21539927577663426,0.11776062335408326,45.142134203062966,321.9052161700881,271.70230071894827,261.5648717336245,6.685199179435577
all,mechanical_cell_width,54,0.097388984181437,0.48356366011097507,45.142134203062966,164.95175400000002,99.94947102631579,95.36370507855278,2.927823777935907
all,comparison_spacing,54,-0.21539927577663426,0.11776062335408326,45.142134203062966,321.9052161700881,271.70230071894827,261.5648717336245,6.685199179435577
manual,L_inst,33,0.1911764705882353,0.28653755555956745,42.64070789473684,195.63350244005656,149.1408480927843,140.19493265730495,3.9163647539994835
manual,coarsened_width,33,0.014705882352941178,0.9352624242198881,42.64070789473684,387.5042029705994,343.647973439533,315.3077345426682,7.832729507998967
manual,mechanical_cell_width,33,0.12633689839572193,0.48356425151950666,42.64070789473684,165.71658000000002,119.10597790909094,111.42984070535978,3.3193899257215373
manual,comparison_spacing,33,0.014705882352941178,0.9352624242198881,42.64070789473684,387.5042029705994,343.647973439533,315.3077345426682,7.832729507998967
stream,L_inst,18,0.1331269349845201,0.5984607651208833,68.82885357142857,195.48260157108092,99.35458758819297,99.78007432125635,2.4098356853210543
stream,coarsened_width,18,0.06707946336429307,0.7914253837974394,68.82885357142857,225.0079098734749,167.44712339675465,198.06329406005565,3.829511718153377
stream,mechanical_cell_width,18,0.14344685242518057,0.5701354475609233,68.82885357142857,160.565064,67.77208277777778,70.54462568524642,2.0577136388949793
stream,comparison_spacing,18,0.06707946336429307,0.7914253837974394,68.82885357142857,225.0079098734749,167.44712339675465,198.06329406005565,3.829511718153377
wiggle,L_inst,3,0.5,0.6666666666666667,213.7673142857143,227.98365832790026,-12.21186992265811,51.40284687555866,0.9428730722306025
wiggle,coarsened_width,3,0.5,0.6666666666666667,213.7673142857143,227.98365832790026,-12.21186992265811,51.40284687555866,0.9428730722306025
wiggle,mechanical_cell_width,3,0.5,0.6666666666666667,213.7673142857143,188.209764,-49.71229028571429,67.55068954351397,0.7674467191028537
wiggle,comparison_spacing,3,0.5,0.6666666666666667,213.7673142857143,227.98365832790026,-12.21186992265811,51.40284687555866,0.9428730722306025
